Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,LiPo 3.7V,
"C1, C4, C6, C7, C8",0805,5,4.7uF/25V,
C10,0805,1,4.7uF/50V,
"C11, C12",0805,2,10uF,
"C13, C21, C22, C27, C30",0805,5,1uF,
"C14, C16, C17, C18, C19, C23, C24, C25, C26",0805,9,100nF,
"C15, C31",0805,2,47uF,
"C2, C3, C5, C9",0805,4,1uF/25V,
C20,0805,1,4.7uF,
"D1, D2, D3",D_SOD-123,3,MBR0530,
"D4, D5, D6, D8, D9",0805,5,LED,
J2,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,L_Chilisin_BMRA00040420,1,10uH @ 2A,
L2,1008,1,1uH @ 2A,
Q1,SOT-323_SC-70,1,SI1308EDL,
"R1, R10, R14, R24, R25, R32, R9",0805,7,10K,
R12,0805,1,2.2K,
"R17, R18",0805,2,5.1K,
R2,0805,1,0.47R,
"R21, R22, R23",0805,3,3.3K,
R26,0805,1,680R,
R27,0805,1,2kR,
"R30, R31",0805,2,1.5K,
"R5, R6",0805,2,330R,
R7,0805,1,200K,
R8,0805,1,44.2K,
SW2,Soso_Switch 3x4x2mm,1,RST,
SW3,Soso_Switch 3x4x2mm,1,BOOT,
U1,SOT-563,1,AP61100Z6-7,
U10,USB to TTL,1,USB to TTL,
U11,Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,1,24 Pin display connector,
U2,SOT-23-5,1,AP22804AW5,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,TSSOP-14-1EP_4.4x5mm_P0.65mm,1,74LVC125APW,
U5,Rotary_encoder_SIQ-02FVS3,1,SIQ-02FVS3,
U6,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,BQ24040DSQR,
U7,LGA-12_2x2mm_P0.5mm,1,BMA400,
U8,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
